epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.55292,3.88859,14.8091,4.20542,0.00471,0.31355,0.00615,0.00144,4.96464,14.581,3.95336,0.0937,0.0007,0.0007
2,4.94586,3.93438,13.5863,3.71398,0.00471,0.31355,0.00615,0.00144,nan,nan,nan,0.0864852,0.00148515,0.00148515
3,7.3381,3.70973,12.0856,3.24486,0.00471,0.31355,0.00615,0.00144,nan,nan,nan,0.0792545,0.00225446,0.00225446
4,9.69426,3.59169,11.9795,3.07611,0.00258,0.04938,0.00148,0.00034,nan,nan,nan,0.0720079,0.00300793,0.00300793
5,11.9902,3.47181,11.8655,2.9963,0.0004,0.04115,0.00033,7e-05,nan,nan,nan,0.0647456,0.00374556,0.00374556
6,14.2687,3.54032,12.0805,3.09321,0.00087,0.04938,0.00069,0.00024,nan,nan,nan,0.0574674,0.00446735,0.00446735
7,16.4966,3.48301,11.6604,2.94907,0.00259,0.04652,0.0014,0.00057,nan,nan,nan,0.0501733,0.0051733,0.0051733
8,18.7329,3.48674,11.8616,2.91227,0.00122,0.03385,0.00055,0.00015,nan,nan,nan,0.0428634,0.00586341,0.00586341
9,20.9657,3.44039,11.772,2.85105,4e-05,0.01075,2e-05,2e-05,nan,nan,nan,0.0355377,0.00653768,0.00653768
10,23.2374,3.45064,11.8179,2.89657,0.00188,0.05283,0.00066,0.00019,nan,nan,nan,0.0281961,0.00719611,0.00719611
11,25.5247,3.36914,11.6872,2.84108,0.00039,0.09677,0.00024,9e-05,nan,nan,nan,0.0208387,0.0078387,0.0078387
12,27.801,3.39514,11.6171,2.83009,0.33682,0.06266,0.00301,0.0006,nan,nan,nan,0.0134655,0.00846545,0.00846545
13,30.1089,3.40551,11.6704,2.87741,0.34062,0.1743,0.00362,0.00067,nan,nan,nan,0.008812,0.008812,0.008812
14,32.4169,3.27645,11.4663,2.80572,0.00249,0.04938,0.00119,0.00026,nan,nan,nan,0.008713,0.008713,0.008713
15,34.7321,3.3456,11.5241,2.86091,0.00509,0.28408,0.00387,0.0008,nan,nan,nan,0.008614,0.008614,0.008614
16,37.0442,3.30825,11.3897,2.80646,0.39537,0.167,0.05617,0.01709,3.81939,inf,5.39979,0.008515,0.008515,0.008515
17,39.4652,3.29179,11.3661,2.76362,0.36167,0.15372,0.03585,0.01116,3.85455,inf,5.37643,0.008416,0.008416,0.008416
18,41.7617,3.23147,11.4291,2.73599,0.00805,0.21227,0.0057,0.0015,4.09555,inf,6.64758,0.008317,0.008317,0.008317
19,44.0576,3.27305,11.4759,2.71865,0.00326,0.23125,0.00218,0.0005,4.03541,inf,7.85135,0.008218,0.008218,0.008218
20,46.3716,3.27241,11.4357,2.75248,0.00235,0.15532,0.00159,0.00042,4.01705,inf,5.59822,0.008119,0.008119,0.008119
21,48.6828,3.27144,11.3984,2.72383,0.00737,0.01898,0.00339,0.00077,3.88654,75.5081,3.54193,0.00802,0.00802,0.00802
22,51.0002,3.24107,11.3173,2.65821,0.36558,0.00823,0.00597,0.00173,3.78506,20.1626,3.33552,0.007921,0.007921,0.007921
23,53.3351,3.16967,11.3744,2.6311,0.39996,0.01898,0.01041,0.00307,3.59961,20.0652,3.17286,0.007822,0.007822,0.007822
24,55.6742,3.26319,11.2326,2.63876,0.0195,0.20589,0.01052,0.00214,3.43191,22.8202,3.0536,0.007723,0.007723,0.007723
25,58.0007,3.11158,11.294,2.59191,0.36406,0.1885,0.01087,0.0028,3.41184,20.7294,3.0442,0.007624,0.007624,0.007624
26,60.3259,3.11318,11.1458,2.5522,0.34178,0.19766,0.00827,0.00193,3.42336,13.8481,2.88799,0.007525,0.007525,0.007525
27,62.6702,3.10475,11.2908,2.60943,0.34363,0.26125,0.00953,0.00234,3.34485,13.3911,2.8487,0.007426,0.007426,0.007426
